0,in,18895,1,0.07206602758493533,0.12298480946551518,0.029155144966686784,0.04568073632862018,0.02463172003193327,0.06210393793103874,0.08725099084530549,0.011521939554112865,0.12986838069235096,0.08499712885640569
1,for,17885,1,0.06058130276789354,0.03231197324317774,0.03534622031126943,0.02992345159133726,0.12168964933160709,0.012707886167070338,0.04687926190231026,0.1067552997456369,0.0410579530117738,0.01966719096788298
2,if,15561,1,0.11800141160063914,0.034378231632284074,0.04007450465662897,0.026010935909080983,0.05829935559550613,0.09490322296869551,0.05004140260711153,0.13119220221448333,0.052348651278981986,0.010377222206384464
3,int,13469,1,0.06152073702680034,0.0340598856891577,0.04263239646048102,0.06346955614728654,0.023444790582334354,0.020135348640010098,0.02383883291397401,0.0,0.06295320351690509,0.009697119945460934
4,return,10187,1,0.024813782553507056,0.051287887088905255,0.08820863950217593,0.0,0.011562779785235325,0.04109605439579129,0.08731306005081663,0.05346044130931664,0.0515865377551538,0.0
5,def,9665,1,0.05207663111470449,0.030356173208475536,0.12259422972958303,0.027521357577151493,0.0,0.06556601757967166,0.0,0.039982665223671214,0.029766966432854786,0.027138651758217603
6,self,9047,0,0.0,0.0,0.42899879061257506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,readline,8545,0,0.04651199098115886,0.06525774942473883,0.08419428957163173,0.0,0.0,0.07942304153272667,0.025970778380063345,0.0,0.04140379976995368,0.0
8,range,7932,1,0.03404096467197377,0.06899478057010751,0.018521326792296844,0.019386818869299174,0.0,0.0,0.0,0.07877558966787432,0.0,0.0
9,append,6185,0,0.007978208634930735,0.08670998992957032,0.03234970506234362,0.031191051864361795,0.03708819565769756,0.026051657165879046,0.0,0.04827864145651741,0.06382397668002746,0.029923354102680776
10,split,6178,0,0.09320342701477971,0.0,0.0,0.0,0.07682777196255065,0.04440791530443995,0.007516786581845138,0.07056301361462555,0.0,0.011554605364980507
11,sys,6178,0,0.0,0.07109855668013502,0.012640672767861433,0.0,0.00699124671196685,0.0,0.06090405552726697,0.09264240688659504,0.0,0.0
